indicator,date,rate
close,2023-06-08 18:18:00,386.25
open,2023-06-08 18:15:00,386.4
high,2023-06-08 18:15:00,386.4
low,2023-06-08 18:15:00,386.4
close,2023-06-08 18:15:00,386.4
open,2023-06-08 18:14:00,386.2
high,2023-06-08 18:14:00,386.5
low,2023-06-08 18:14:00,386.1
close,2023-06-08 18:14:00,386.5
open,2023-06-08 18:13:00,386.2
high,2023-06-08 18:13:00,386.2
low,2023-06-08 18:13:00,386.2
close,2023-06-08 18:13:00,386.2
open,2023-06-08 18:11:00,386.1
high,2023-06-08 18:11:00,386.1
low,2023-06-08 18:11:00,386.1
close,2023-06-08 18:11:00,386.1
open,2023-06-08 18:10:00,386.2687
high,2023-06-08 18:10:00,386.2687
low,2023-06-08 18:10:00,386.2687
close,2023-06-08 18:10:00,386.2687
open,2023-06-08 18:08:00,386.1
high,2023-06-08 18:08:00,386.1
low,2023-06-08 18:08:00,386.1
close,2023-06-08 18:08:00,386.1
open,2023-06-08 18:07:00,386.06
high,2023-06-08 18:07:00,386.25
low,2023-06-08 18:07:00,386.05
close,2023-06-08 18:07:00,386.25
open,2023-06-08 18:06:00,386.1825
high,2023-06-08 18:06:00,386.1825
low,2023-06-08 18:06:00,386.1825
close,2023-06-08 18:06:00,386.1825
open,2023-06-08 18:05:00,386.02
high,2023-06-08 18:05:00,386.03
low,2023-06-08 18:05:00,386.02
close,2023-06-08 18:05:00,386.03
open,2023-06-08 18:04:00,386.15
high,2023-06-08 18:04:00,386.15
low,2023-06-08 18:04:00,386.0
close,2023-06-08 18:04:00,386.0
open,2023-06-08 18:03:00,386.0181
high,2023-06-08 18:03:00,386.12
low,2023-06-08 18:03:00,386.014
close,2023-06-08 18:03:00,386.1
open,2023-06-08 18:02:00,386.4633
high,2023-06-08 18:02:00,386.4633
low,2023-06-08 18:02:00,386.07
close,2023-06-08 18:02:00,386.07
open,2023-06-08 18:01:00,386.5
high,2023-06-08 18:01:00,386.5
low,2023-06-08 18:01:00,386.5
close,2023-06-08 18:01:00,386.5
open,2023-06-08 18:00:00,386.45
high,2023-06-08 18:00:00,386.45
low,2023-06-08 18:00:00,386.45
close,2023-06-08 18:00:00,386.45
open,2023-06-08 17:58:00,386.6
high,2023-06-08 17:58:00,386.6
low,2023-06-08 17:58:00,386.6
close,2023-06-08 17:58:00,386.6
open,2023-06-08 17:57:00,386.6874
high,2023-06-08 17:57:00,386.7
low,2023-06-08 17:57:00,386.4
close,2023-06-08 17:57:00,386.4
